Data Source in SDW: null
,ICP.M.IT.N.XEF000.4.ANR
,"Italy - HICP - All-items excluding energy and food, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2017Feb,0.7,Normal value (A),
2017Jan,0.5,Normal value (A),
2016Dec,0.7,Normal value (A),
2016Nov,0.4,Normal value (A),
2016Oct,0.2,Normal value (A),
2016Sep,0.4,Normal value (A),
2016Aug,0.4,Normal value (A),
2016Jul,0.5,Normal value (A),
2016Jun,0.5,Normal value (A),
2016May,0.6,Normal value (A),
2016Apr,0.6,Normal value (A),
2016Mar,0.8,Normal value (A),
2016Feb,0.5,Normal value (A),
2016Jan,0.9,Normal value (A),
2015Dec,0.5,Normal value (A),
2015Nov,0.7,Normal value (A),
2015Oct,1.0,Normal value (A),
2015Sep,0.9,Normal value (A),
2015Aug,1.0,Normal value (A),
2015Jul,1.0,Normal value (A),
2015Jun,0.7,Normal value (A),
2015May,0.6,Normal value (A),
2015Apr,0.3,Normal value (A),
2015Mar,0.5,Normal value (A),
2015Feb,0.9,Normal value (A),
2015Jan,0.5,Normal value (A),
2014Dec,0.7,Normal value (A),
2014Nov,0.6,Normal value (A),
2014Oct,0.5,Normal value (A),
2014Sep,0.5,Normal value (A),
2014Aug,0.4,Normal value (A),
2014Jul,0.5,Normal value (A),
2014Jun,0.7,Normal value (A),
2014May,0.8,Normal value (A),
2014Apr,1.1,Normal value (A),
2014Mar,0.8,Normal value (A),
2014Feb,0.8,Normal value (A),
2014Jan,0.9,Normal value (A),
2013Dec,0.9,Normal value (A),
2013Nov,1.1,Normal value (A),
2013Oct,1.2,Normal value (A),
2013Sep,1.2,Normal value (A),
2013Aug,1.2,Normal value (A),
2013Jul,0.9,Normal value (A),
2013Jun,1.3,Normal value (A),
2013May,1.3,Normal value (A),
2013Apr,1.2,Normal value (A),
2013Mar,1.4,Normal value (A),
2013Feb,1.4,Normal value (A),
2013Jan,1.7,Normal value (A),
2012Dec,1.6,Normal value (A),
2012Nov,1.4,Normal value (A),
2012Oct,1.4,Normal value (A),
2012Sep,1.9,Normal value (A),
2012Aug,1.9,Normal value (A),
2012Jul,2.7,Normal value (A),
2012Jun,2.2,Normal value (A),
2012May,2.3,Normal value (A),
2012Apr,2.3,Normal value (A),
2012Mar,2.5,Normal value (A),
2012Feb,2.1,Normal value (A),
2012Jan,2.1,Normal value (A),
2011Dec,2.5,Normal value (A),
2011Nov,2.6,Normal value (A),
2011Oct,2.7,Normal value (A),
2011Sep,3.0,Normal value (A),
2011Aug,1.2,Normal value (A),
2011Jul,1.1,Normal value (A),
2011Jun,2.3,Normal value (A),
2011May,2.1,Normal value (A),
2011Apr,2.1,Normal value (A),
2011Mar,2.2,Normal value (A),
2011Feb,1.2,Normal value (A),
2011Jan,1.2,Normal value (A),Implementation of HICP Regulation No. 33/2009 on the treatment of seasonal items in the HICP. See Box 3 in the April 2011 ECB Monthly Bulletin for details.
2010Dec,1.7,Normal value (A),
2010Nov,1.6,Normal value (A),
2010Oct,1.8,Normal value (A),
2010Sep,1.6,Normal value (A),
2010Aug,1.9,Normal value (A),
2010Jul,1.8,Normal value (A),
2010Jun,1.6,Normal value (A),
2010May,1.5,Normal value (A),
2010Apr,1.7,Normal value (A),
2010Mar,1.5,Normal value (A),
2010Feb,1.3,Normal value (A),
2010Jan,1.6,Normal value (A),
2009Dec,1.6,Normal value (A),
2009Nov,1.6,Normal value (A),
2009Oct,1.5,Normal value (A),
2009Sep,1.6,Normal value (A),
2009Aug,1.3,Normal value (A),
2009Jul,1.3,Normal value (A),
2009Jun,1.6,Normal value (A),
2009May,1.9,Normal value (A),
2009Apr,2.0,Normal value (A),
2009Mar,1.4,Normal value (A),
2009Feb,1.7,Normal value (A),
2009Jan,1.6,Normal value (A),
2008Dec,2.2,Normal value (A),
2008Nov,2.2,Normal value (A),
2008Oct,2.5,Normal value (A),
2008Sep,2.2,Normal value (A),
2008Aug,2.4,Normal value (A),
2008Jul,1.9,Normal value (A),
2008Jun,2.2,Normal value (A),
2008May,2.1,Normal value (A),
2008Apr,2.1,Normal value (A),
2008Mar,2.5,Normal value (A),
2008Feb,2.1,Normal value (A),
2008Jan,2.1,Normal value (A),
2007Dec,2.0,Normal value (A),
2007Nov,1.9,Normal value (A),
2007Oct,1.9,Normal value (A),
2007Sep,1.7,Normal value (A),
2007Aug,1.8,Normal value (A),
2007Jul,1.7,Normal value (A),
2007Jun,1.8,Normal value (A),
2007May,1.8,Normal value (A),
2007Apr,1.7,Normal value (A),
2007Mar,1.8,Normal value (A),
2007Feb,2.0,Normal value (A),
2007Jan,1.4,Normal value (A),
2006Dec,1.6,Normal value (A),
2006Nov,1.6,Normal value (A),
2006Oct,1.7,Normal value (A),Introduction of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP in Italy. Collection after October 2006 took place between the 1st and the 21st of the reference month. Until September 2006 the collection period was between the 16th of the previous month and the 15th of the reference month.
2006Sep,1.7,Normal value (A),
2006Aug,1.4,Normal value (A),
2006Jul,1.4,Normal value (A),
2006Jun,1.6,Normal value (A),
2006May,1.6,Normal value (A),
2006Apr,1.7,Normal value (A),
2006Mar,1.6,Normal value (A),
2006Feb,1.6,Normal value (A),
2006Jan,1.7,Normal value (A),
2005Dec,1.8,Normal value (A),
2005Nov,1.8,Normal value (A),
2005Oct,1.8,Normal value (A),
2005Sep,1.8,Normal value (A),
2005Aug,1.9,Normal value (A),
2005Jul,1.9,Normal value (A),
2005Jun,2.1,Normal value (A),
2005May,2.3,Normal value (A),
2005Apr,2.1,Normal value (A),
2005Mar,2.2,Normal value (A),
2005Feb,1.8,Normal value (A),
2005Jan,1.9,Normal value (A),
2004Dec,2.3,Normal value (A),
2004Nov,2.2,Normal value (A),
2004Oct,2.3,Normal value (A),
2004Sep,2.2,Normal value (A),
2004Aug,2.1,Normal value (A),
2004Jul,2.1,Normal value (A),
2004Jun,2.2,Normal value (A),
2004May,2.1,Normal value (A),
2004Apr,2.1,Normal value (A),
2004Mar,2.0,Normal value (A),
2004Feb,2.2,Normal value (A),
2004Jan,1.9,Normal value (A),
2003Dec,2.2,Normal value (A),
2003Nov,2.3,Normal value (A),
2003Oct,2.3,Normal value (A),
2003Sep,2.5,Normal value (A),
2003Aug,2.5,Normal value (A),
2003Jul,2.5,Normal value (A),
2003Jun,2.7,Normal value (A),
2003May,2.7,Normal value (A),
2003Apr,2.9,Normal value (A),
2003Mar,2.8,Normal value (A),
2003Feb,2.4,Normal value (A),
2003Jan,2.7,Normal value (A),
2002Dec,3.2,Normal value (A),
2002Nov,3.2,Normal value (A),
2002Oct,3.0,Normal value (A),
2002Sep,3.2,Normal value (A),
2002Aug,3.0,Normal value (A),
2002Jul,2.9,Normal value (A),
2002Jun,2.8,Normal value (A),
2002May,2.8,Normal value (A),
2002Apr,2.8,Normal value (A),
2002Mar,3.0,Normal value (A),
2002Feb,3.0,Normal value (A),
2002Jan,2.5,Normal value (A),
2001Dec,2.5,Normal value (A),
2001Nov,2.3,Normal value (A),
2001Oct,2.5,Normal value (A),
2001Sep,2.1,Normal value (A),
2001Aug,1.6,Normal value (A),
2001Jul,2.1,Normal value (A),
2001Jun,2.4,Normal value (A),
2001May,2.5,Normal value (A),
2001Apr,2.4,Normal value (A),
2001Mar,1.6,Normal value (A),
2001Feb,0.5,Normal value (A),
2001Jan,1.9,Normal value (A),Introduction of harmonised treatment of price reductions in Italy as of Jan01
2000Dec,2.1,Normal value (A),
2000Nov,2.1,Normal value (A),
2000Oct,2.0,Normal value (A),
2000Sep,2.0,Normal value (A),
2000Aug,2.0,Normal value (A),
2000Jul,2.0,Normal value (A),
2000Jun,2.1,Normal value (A),
2000May,1.9,Normal value (A),
2000Apr,1.9,Normal value (A),
2000Mar,2.0,Normal value (A),
2000Feb,2.0,Normal value (A),
2000Jan,1.9,Normal value (A),
1999Dec,1.9,Normal value (A),
1999Nov,2.0,Normal value (A),
1999Oct,2.0,Normal value (A),
1999Sep,1.9,Normal value (A),
1999Aug,1.9,Normal value (A),
1999Jul,2.0,Normal value (A),
1999Jun,1.8,Normal value (A),
1999May,1.9,Normal value (A),
1999Apr,1.8,Normal value (A),
1999Mar,1.8,Normal value (A),
1999Feb,1.9,Normal value (A),
1999Jan,2.1,Normal value (A),
1998Dec,2.1,Normal value (A),
1998Nov,2.1,Normal value (A),
1998Oct,2.1,Normal value (A),
1998Sep,2.4,Normal value (A),
1998Aug,2.5,Normal value (A),
1998Jul,2.2,Normal value (A),
1998Jun,2.4,Normal value (A),
1998May,2.4,Normal value (A),
1998Apr,2.5,Normal value (A),
1998Mar,2.5,Normal value (A),
1998Feb,2.5,Normal value (A),
1998Jan,2.3,Normal value (A),
1997Dec,2.3,Normal value (A),
1997Nov,2.1,Normal value (A),
1997Oct,2.3,Normal value (A),
1997Sep,2.0,Normal value (A),
1997Aug,2.0,Normal value (A),
1997Jul,2.3,Normal value (A),
1997Jun,2.3,Normal value (A),
1997May,2.3,Normal value (A),
1997Apr,2.4,Normal value (A),
1997Mar,2.6,Normal value (A),
1997Feb,2.6,Normal value (A),
1997Jan,2.9,Normal value (A),
